"rules","support","confidence","lift","count"
"{Labels,Phones,Supplies} => {Binders}",0.00188730115934214,0.777777777777778,2.45931609358719,7
"{Accessories,Chairs,Supplies} => {Binders}",0.00161768670800755,0.75,2.37148337595908,6
"{Furnishings,Storage,Supplies} => {Paper}",0.0032353734160151,0.857142857142857,2.95734219269103,12
"{Furnishings,Phones,Supplies} => {Paper}",0.00377460231868428,0.777777777777778,2.68351421188631,14
"{Accessories,Bookcases,Fasteners} => {Labels}",0.00107845780533837,0.8,8.88383233532934,4
"{Bookcases,Chairs,Fasteners} => {Paper}",0.00107845780533837,0.8,2.76018604651163,4
"{Art,Bookcases,Fasteners} => {Storage}",0.00134807225667296,0.833333333333333,4.31680633147114,5
"{Bookcases,Fasteners,Storage} => {Art}",0.00134807225667296,0.833333333333333,4.48597000483793,5
"{Bookcases,Fasteners,Phones} => {Art}",0.00107845780533837,1,5.38316400580552,4
"{Art,Bookcases,Fasteners} => {Paper}",0.00134807225667296,0.833333333333333,2.87519379844961,5
"{Art,Bookcases,Fasteners} => {Binders}",0.00161768670800755,1,3.16197783461211,6
"{Binders,Bookcases,Fasteners} => {Art}",0.00161768670800755,0.857142857142857,4.61414057640473,6
"{Bookcases,Fasteners,Storage} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
"{Bookcases,Fasteners,Phones} => {Paper}",0.00107845780533837,1,3.45023255813953,4
"{Bookcases,Fasteners,Phones} => {Binders}",0.00107845780533837,1,3.16197783461211,4
"{Bookcases,Fasteners,Furnishings} => {Paper}",0.00107845780533837,1,3.45023255813953,4
"{Bookcases,Chairs,Envelopes} => {Phones}",0.00107845780533837,1,4.8996036988111,4
"{Accessories,Bookcases,Envelopes} => {Art}",0.00107845780533837,0.8,4.30653120464441,4
"{Bookcases,Envelopes,Storage} => {Art}",0.00107845780533837,0.8,4.30653120464441,4
"{Art,Bookcases,Envelopes} => {Furnishings}",0.00161768670800755,0.857142857142857,3.93945831120552,6
"{Bookcases,Envelopes,Furnishings} => {Art}",0.00161768670800755,0.857142857142857,4.61414057640473,6
"{Art,Bookcases,Envelopes} => {Paper}",0.00161768670800755,0.857142857142857,2.95734219269103,6
"{Art,Bookcases,Envelopes} => {Binders}",0.00161768670800755,0.857142857142857,2.7102667153818,6
"{Accessories,Bookcases,Envelopes} => {Furnishings}",0.00107845780533837,0.8,3.67682775712516,4
"{Accessories,Bookcases,Envelopes} => {Paper}",0.00107845780533837,0.8,2.76018604651163,4
"{Accessories,Bookcases,Envelopes} => {Binders}",0.00107845780533837,0.8,2.52958226768968,4
"{Bookcases,Envelopes,Storage} => {Furnishings}",0.00107845780533837,0.8,3.67682775712516,4
"{Bookcases,Envelopes,Storage} => {Paper}",0.00134807225667296,1,3.45023255813953,5
"{Bookcases,Envelopes,Storage} => {Binders}",0.00107845780533837,0.8,2.52958226768968,4
"{Bookcases,Envelopes,Phones} => {Furnishings}",0.00134807225667296,0.833333333333333,3.83002891367204,5
"{Bookcases,Envelopes,Phones} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
"{Bookcases,Envelopes,Furnishings} => {Binders}",0.00188730115934214,1,3.16197783461211,7
"{Binders,Bookcases,Envelopes} => {Furnishings}",0.00188730115934214,0.777777777777778,3.57469365276057,7
"{Bookcases,Envelopes,Paper} => {Binders}",0.00188730115934214,0.777777777777778,2.45931609358719,7
